Job_Title,Company,City,Experience_Level,Skills_Required,Education_Required,Clean_Skills,Search_Text
UI/UX Designer,Hasura,Hyderabad,Mid (3-6 yrs),"Wireframing, Adobe XD, User Research, Prototyping",M.Tech/M.E.,wireframing adobe xd user research prototyping,UI/UX Designer wireframing adobe xd user research prototyping M.Tech/M.E. Mid (3-6 yrs)
Data Analyst,ISRO,Remote,Fresher (0-1 yr),"SQL, Tableau, Power BI, Statistics, Excel, Python",B.Tech/B.E.,sql tableau power bi statistic excel python,Data Analyst sql tableau power bi statistic excel python B.Tech/B.E. Fresher (0-1 yr)
Software Engineer,Google,Pune,Junior (1-3 yrs),"Python, Git, REST APIs",M.Tech/M.E.,python git rest apis,Software Engineer python git rest apis M.Tech/M.E. Junior (1-3 yrs)
Machine Learning Engineer,BHEL,Lucknow,Mid (3-6 yrs),"Docker, TensorFlow, PyTorch, Scikit-learn",MBA,docker tensorflow pytorch scikitlearn,Machine Learning Engineer docker tensorflow pytorch scikitlearn MBA Mid (3-6 yrs)
Python Developer,Cognizant,Bhubaneswar,Lead (10+ yrs),"Django, FastAPI, Docker",MBA,django fastapi docker,Python Developer django fastapi docker MBA Lead (10+ yrs)
Power BI Developer,BrowserStack,Remote,Junior (1-3 yrs),"ETL, Data Modeling, DAX",B.Tech/B.E.,etl data modeling dax,Power BI Developer etl data modeling dax B.Tech/B.E. Junior (1-3 yrs)
QA Engineer,BrowserStack,Bangalore,Fresher (0-1 yr),"Python, Postman, API Testing, JIRA, Selenium",MCA,python postman api testing jira selenium,QA Engineer python postman api testing jira selenium MCA Fresher (0-1 yr)
Data Engineer,Setu,Remote,Fresher (0-1 yr),"Airflow, AWS, Spark, Python, Kafka",B.Sc (CS/IT),airflow aws spark python kafka,Data Engineer airflow aws spark python kafka B.Sc (CS/IT) Fresher (0-1 yr)
Software Engineer,BSNL,Remote,Senior (6-10 yrs),"Algorithms, Python, System Design, Java",MBA,algorithm python system design java,Software Engineer algorithm python system design java MBA Senior (6-10 yrs)
Java Developer,CRED,Remote,Junior (1-3 yrs),"Microservices, REST APIs, Maven, Hibernate, SQL",B.Tech/B.E.,microservices rest apis maven hibernate sql,Java Developer microservices rest apis maven hibernate sql B.Tech/B.E. Junior (1-3 yrs)
Backend Developer,CRED,Chennai,Junior (1-3 yrs),"Django, FastAPI, Node.js, PostgreSQL, Docker, MongoDB",M.Tech/M.E.,django fastapi nodejs postgresql docker mongodb,Backend Developer django fastapi nodejs postgresql docker mongodb M.Tech/M.E. Junior (1-3 yrs)
Software Engineer,Byju's,Remote,Mid (3-6 yrs),"Git, System Design, C++, Algorithms, Python",BCA,git system design c algorithm python,Software Engineer git system design c algorithm python BCA Mid (3-6 yrs)
Node.js Developer,Lenskart,Remote,Junior (1-3 yrs),"REST APIs, Express.js, TypeScript, MongoDB, Node.js, JavaScript",B.Tech/B.E.,rest apis expressjs typescript mongodb nodejs javascript,Node.js Developer rest apis expressjs typescript mongodb nodejs javascript B.Tech/B.E. Junior (1-3 yrs)
Java Developer,Hasura,Remote,Fresher (0-1 yr),"Hibernate, REST APIs, Maven, Spring Boot, Microservices, SQL",MCA,hibernate rest apis maven spring boot microservices sql,Java Developer hibernate rest apis maven spring boot microservices sql MCA Fresher (0-1 yr)
Node.js Developer,Khatabook,Hyderabad,Junior (1-3 yrs),"REST APIs, Express.js, TypeScript",M.Tech/M.E.,rest apis expressjs typescript,Node.js Developer rest apis expressjs typescript M.Tech/M.E. Junior (1-3 yrs)
Computer Vision Engineer,BrowserStack,Remote,Junior (1-3 yrs),"TensorFlow, YOLO, OpenCV, Deep Learning, PyTorch",MCA,tensorflow yolo opencv deep learning pytorch,Computer Vision Engineer tensorflow yolo opencv deep learning pytorch MCA Junior (1-3 yrs)
Node.js Developer,Wipro,Pune,Fresher (0-1 yr),"Express.js, REST APIs, JavaScript",M.Tech/M.E.,expressjs rest apis javascript,Node.js Developer expressjs rest apis javascript M.Tech/M.E. Fresher (0-1 yr)
MLOps Engineer,Razorpay,Hyderabad,Senior (6-10 yrs),"Airflow, Kubernetes, MLflow, CI/CD",M.Tech/M.E.,airflow kubernetes mlflow cicd,MLOps Engineer airflow kubernetes mlflow cicd M.Tech/M.E. Senior (6-10 yrs)
DevOps Engineer,Cognizant,Remote,Lead (10+ yrs),"Jenkins, Docker, Ansible, AWS, Linux, CI/CD",M.Tech/M.E.,jenkins docker ansible aws linux cicd,DevOps Engineer jenkins docker ansible aws linux cicd M.Tech/M.E. Lead (10+ yrs)
Python Developer,Lenskart,Remote,Fresher (0-1 yr),"AWS, Python, Django",BCA,aws python django,Python Developer aws python django BCA Fresher (0-1 yr)
Product Manager,HCL Technologies,Delhi,Senior (6-10 yrs),"JIRA, Product Strategy, User Research, Roadmapping",B.Tech/B.E.,jira product strategy user research roadmapping,Product Manager jira product strategy user research roadmapping B.Tech/B.E. Senior (6-10 yrs)
Technical Lead,Deloitte,Remote,Fresher (0-1 yr),"Team Leadership, Code Review, Agile",B.Tech/B.E.,team leadership code review agile,Technical Lead team leadership code review agile B.Tech/B.E. Fresher (0-1 yr)
Java Developer,Accenture,Kochi,Mid (3-6 yrs),"Hibernate, SQL, Maven, Microservices, Spring Boot, Java",B.Tech/B.E.,hibernate sql maven microservices spring boot java,Java Developer hibernate sql maven microservices spring boot java B.Tech/B.E. Mid (3-6 yrs)
Data Engineer,Urban Company,Remote,Fresher (0-1 yr),"Python, SQL, Spark, ETL, AWS",MBA,python sql spark etl aws,Data Engineer python sql spark etl aws MBA Fresher (0-1 yr)
Android Developer,Zoho,Delhi,Junior (1-3 yrs),"Jetpack Compose, REST APIs, Android SDK, Java, Firebase",M.Tech/M.E.,jetpack compose rest apis android sdk java firebase,Android Developer jetpack compose rest apis android sdk java firebase M.Tech/M.E. Junior (1-3 yrs)
Frontend Developer,Leadsquared,Jaipur,Junior (1-3 yrs),"React, JavaScript, TypeScript, Tailwind CSS, HTML/CSS",M.Tech/M.E.,react javascript typescript tailwind cs htmlcss,Frontend Developer react javascript typescript tailwind cs htmlcss M.Tech/M.E. Junior (1-3 yrs)
Data Analyst,Tech Mahindra,Kolkata,Mid (3-6 yrs),"Tableau, Power BI, Excel, SQL, Python, Statistics",B.Tech/B.E.,tableau power bi excel sql python statistic,Data Analyst tableau power bi excel sql python statistic B.Tech/B.E. Mid (3-6 yrs)
Data Analyst,Deloitte,Remote,Lead (10+ yrs),"Data Visualization, Python, Tableau, Statistics",MCA,data visualization python tableau statistic,Data Analyst data visualization python tableau statistic MCA Lead (10+ yrs)
Data Engineer,Google,Mumbai,Mid (3-6 yrs),"Python, Airflow, dbt, SQL",M.Tech/M.E.,python airflow dbt sql,Data Engineer python airflow dbt sql M.Tech/M.E. Mid (3-6 yrs)
QA Engineer,Byju's,Delhi,Senior (6-10 yrs),"Manual Testing, Python, JIRA, Selenium",M.Tech/M.E.,manual testing python jira selenium,QA Engineer manual testing python jira selenium M.Tech/M.E. Senior (6-10 yrs)
Java Developer,BEL,Pune,Junior (1-3 yrs),"Hibernate, REST APIs, Microservices",M.Tech/M.E.,hibernate rest apis microservices,Java Developer hibernate rest apis microservices M.Tech/M.E. Junior (1-3 yrs)
Java Developer,Flipkart,Remote,Mid (3-6 yrs),"Spring Boot, Maven, Hibernate, REST APIs, Java",M.Tech/M.E.,spring boot maven hibernate rest apis java,Java Developer spring boot maven hibernate rest apis java M.Tech/M.E. Mid (3-6 yrs)
Full Stack Developer,Lenskart,Coimbatore,Senior (6-10 yrs),"React, Docker, PostgreSQL, MongoDB, AWS, REST APIs",B.Tech/B.E.,react docker postgresql mongodb aws rest apis,Full Stack Developer react docker postgresql mongodb aws rest apis B.Tech/B.E. Senior (6-10 yrs)
Cloud Engineer,Tech Mahindra,Delhi,Junior (1-3 yrs),"Kubernetes, Azure, GCP, AWS",BCA,kubernetes azure gcp aws,Cloud Engineer kubernetes azure gcp aws BCA Junior (1-3 yrs)
Machine Learning Engineer,BSNL,Pune,Junior (1-3 yrs),"PyTorch, Scikit-learn, TensorFlow, MLOps, Docker, Python",M.Tech/M.E.,pytorch scikitlearn tensorflow mlops docker python,Machine Learning Engineer pytorch scikitlearn tensorflow mlops docker python M.Tech/M.E. Junior (1-3 yrs)
Python Developer,TCS,Delhi,Senior (6-10 yrs),"FastAPI, AWS, PostgreSQL, REST APIs, Django, Docker",M.Tech/M.E.,fastapi aws postgresql rest apis django docker,Python Developer fastapi aws postgresql rest apis django docker M.Tech/M.E. Senior (6-10 yrs)
React Developer,Razorpay,Remote,Junior (1-3 yrs),"JavaScript, Next.js, TypeScript",M.Tech/M.E.,javascript nextjs typescript,React Developer javascript nextjs typescript M.Tech/M.E. Junior (1-3 yrs)
Cybersecurity Analyst,InMobi,Remote,Fresher (0-1 yr),"SIEM, Ethical Hacking, Penetration Testing",B.Tech/B.E.,siem ethical hacking penetration testing,Cybersecurity Analyst siem ethical hacking penetration testing B.Tech/B.E. Fresher (0-1 yr)
Android Developer,BHEL,Coimbatore,Lead (10+ yrs),"Kotlin, Firebase, Android SDK, REST APIs, Java",B.Tech/B.E.,kotlin firebase android sdk rest apis java,Android Developer kotlin firebase android sdk rest apis java B.Tech/B.E. Lead (10+ yrs)
Python Developer,Infosys,Remote,Mid (3-6 yrs),"REST APIs, FastAPI, Python, AWS, Django",M.Tech/M.E.,rest apis fastapi python aws django,Python Developer rest apis fastapi python aws django M.Tech/M.E. Mid (3-6 yrs)
Power BI Developer,IBM,Kochi,Senior (6-10 yrs),"Data Modeling, SQL, ETL, Power BI, Azure",B.Tech/B.E.,data modeling sql etl power bi azure,Power BI Developer data modeling sql etl power bi azure B.Tech/B.E. Senior (6-10 yrs)
Blockchain Developer,Deloitte,Remote,Senior (6-10 yrs),"Ethereum, Solidity, Web3.js, Smart Contracts",B.Tech/B.E.,ethereum solidity web j smart contract,Blockchain Developer ethereum solidity web j smart contract B.Tech/B.E. Senior (6-10 yrs)
AI Engineer,ONGC,Remote,Junior (1-3 yrs),"LangChain, NLP, RAG, Prompt Engineering, OpenAI API",M.Tech/M.E.,langchain nlp rag prompt engineering openai api,AI Engineer langchain nlp rag prompt engineering openai api M.Tech/M.E. Junior (1-3 yrs)
React Developer,InMobi,Remote,Fresher (0-1 yr),"Next.js, Redux, TypeScript, React, HTML/CSS",B.Tech/B.E.,nextjs redux typescript react htmlcss,React Developer nextjs redux typescript react htmlcss B.Tech/B.E. Fresher (0-1 yr)
Node.js Developer,Infosys,Kochi,Lead (10+ yrs),"REST APIs, Node.js, JavaScript, TypeScript, MongoDB",B.Com + Certification,rest apis nodejs javascript typescript mongodb,Node.js Developer rest apis nodejs javascript typescript mongodb B.Com + Certification Lead (10+ yrs)
Technical Lead,Freshworks,Coimbatore,Mid (3-6 yrs),"Microservices, Agile, Code Review, System Design, AWS",B.Tech/B.E.,microservices agile code review system design aws,Technical Lead microservices agile code review system design aws B.Tech/B.E. Mid (3-6 yrs)
Android Developer,Tech Mahindra,Bangalore,Lead (10+ yrs),"Kotlin, Android SDK, Java",BCA,kotlin android sdk java,Android Developer kotlin android sdk java BCA Lead (10+ yrs)
Data Engineer,MakeMyTrip,Remote,Senior (6-10 yrs),"SQL, dbt, Spark, Python",PhD,sql dbt spark python,Data Engineer sql dbt spark python PhD Senior (6-10 yrs)
MLOps Engineer,Tech Mahindra,Pune,Junior (1-3 yrs),"Airflow, AWS, Kubernetes",B.Tech/B.E.,airflow aws kubernetes,MLOps Engineer airflow aws kubernetes B.Tech/B.E. Junior (1-3 yrs)
Business Analyst,Flipkart,Hyderabad,Senior (6-10 yrs),"Power BI, Agile, Excel",M.Tech/M.E.,power bi agile excel,Business Analyst power bi agile excel M.Tech/M.E. Senior (6-10 yrs)
UI/UX Designer,Ola,Remote,Mid (3-6 yrs),"Wireframing, CSS, Adobe XD, Prototyping",BCA,wireframing cs adobe xd prototyping,UI/UX Designer wireframing cs adobe xd prototyping BCA Mid (3-6 yrs)
Frontend Developer,Tech Mahindra,Mumbai,Mid (3-6 yrs),"Figma, JavaScript, Next.js, React, TypeScript",M.Tech/M.E.,figma javascript nextjs react typescript,Frontend Developer figma javascript nextjs react typescript M.Tech/M.E. Mid (3-6 yrs)
React Developer,HAL,Remote,Lead (10+ yrs),"JavaScript, React, TypeScript, Redux, HTML/CSS, Next.js",B.Tech/B.E.,javascript react typescript redux htmlcss nextjs,React Developer javascript react typescript redux htmlcss nextjs B.Tech/B.E. Lead (10+ yrs)
Research Scientist,Setu,Remote,Fresher (0-1 yr),"Deep Learning, PyTorch, Python, R, Publications",B.Tech/B.E.,deep learning pytorch python r publication,Research Scientist deep learning pytorch python r publication B.Tech/B.E. Fresher (0-1 yr)
Research Scientist,Capgemini,Hyderabad,Mid (3-6 yrs),"Python, R, Statistics",B.Com + Certification,python r statistic,Research Scientist python r statistic B.Com + Certification Mid (3-6 yrs)
Cloud Engineer,InMobi,Chennai,Fresher (0-1 yr),"AWS, Azure, Terraform, Linux, Docker",M.Tech/M.E.,aws azure terraform linux docker,Cloud Engineer aws azure terraform linux docker M.Tech/M.E. Fresher (0-1 yr)
Backend Developer,TCS,Hyderabad,Fresher (0-1 yr),"Python, MongoDB, Redis, PostgreSQL, Node.js",B.Sc (CS/IT),python mongodb redis postgresql nodejs,Backend Developer python mongodb redis postgresql nodejs B.Sc (CS/IT) Fresher (0-1 yr)
MLOps Engineer,Freshworks,Chandigarh,Fresher (0-1 yr),"Docker, Airflow, CI/CD, Kubernetes, Python",BCA,docker airflow cicd kubernetes python,MLOps Engineer docker airflow cicd kubernetes python BCA Fresher (0-1 yr)
Blockchain Developer,Amazon,Chennai,Mid (3-6 yrs),"Ethereum, Python, Solidity, Web3.js, Smart Contracts",B.Tech/B.E.,ethereum python solidity web j smart contract,Blockchain Developer ethereum python solidity web j smart contract B.Tech/B.E. Mid (3-6 yrs)
Data Analyst,BEL,Remote,Senior (6-10 yrs),"Data Visualization, Statistics, Power BI, Excel, Tableau",BCA,data visualization statistic power bi excel tableau,Data Analyst data visualization statistic power bi excel tableau BCA Senior (6-10 yrs)
MLOps Engineer,Paytm,Hyderabad,Fresher (0-1 yr),"AWS, CI/CD, Python",B.Com + Certification,aws cicd python,MLOps Engineer aws cicd python B.Com + Certification Fresher (0-1 yr)
Node.js Developer,Zoho,Jaipur,Junior (1-3 yrs),"TypeScript, Node.js, Express.js, JavaScript, MongoDB",B.Tech/B.E.,typescript nodejs expressjs javascript mongodb,Node.js Developer typescript nodejs expressjs javascript mongodb B.Tech/B.E. Junior (1-3 yrs)
Full Stack Developer,HAL,Delhi,Mid (3-6 yrs),"PostgreSQL, Python, Docker, REST APIs, Node.js, MongoDB",B.Tech/B.E.,postgresql python docker rest apis nodejs mongodb,Full Stack Developer postgresql python docker rest apis nodejs mongodb B.Tech/B.E. Mid (3-6 yrs)
Research Scientist,InMobi,Pune,Lead (10+ yrs),"Statistics, PyTorch, NLP",B.Sc (CS/IT),statistic pytorch nlp,Research Scientist statistic pytorch nlp B.Sc (CS/IT) Lead (10+ yrs)
Software Engineer,BEL,Remote,Fresher (0-1 yr),"System Design, Git, Algorithms",M.Tech/M.E.,system design git algorithm,Software Engineer system design git algorithm M.Tech/M.E. Fresher (0-1 yr)
QA Engineer,Khatabook,Hyderabad,Fresher (0-1 yr),"Python, API Testing, Manual Testing, Postman, JIRA, Selenium",BCA,python api testing manual testing postman jira selenium,QA Engineer python api testing manual testing postman jira selenium BCA Fresher (0-1 yr)
Python Developer,BrowserStack,Mumbai,Senior (6-10 yrs),"PostgreSQL, Python, AWS, Docker, Django",BCA,postgresql python aws docker django,Python Developer postgresql python aws docker django BCA Senior (6-10 yrs)
Cloud Engineer,BHEL,Remote,Lead (10+ yrs),"GCP, Azure, AWS",B.Tech/B.E.,gcp azure aws,Cloud Engineer gcp azure aws B.Tech/B.E. Lead (10+ yrs)
Python Developer,Tech Mahindra,Remote,Mid (3-6 yrs),"Python, FastAPI, Django",B.Tech/B.E.,python fastapi django,Python Developer python fastapi django B.Tech/B.E. Mid (3-6 yrs)
Machine Learning Engineer,Tech Mahindra,Mumbai,Junior (1-3 yrs),"Scikit-learn, Docker, TensorFlow",MBA,scikitlearn docker tensorflow,Machine Learning Engineer scikitlearn docker tensorflow MBA Junior (1-3 yrs)
iOS Developer,Accenture,Chennai,Mid (3-6 yrs),"Core Data, REST APIs, Xcode",B.Sc (CS/IT),core data rest apis xcode,iOS Developer core data rest apis xcode B.Sc (CS/IT) Mid (3-6 yrs)
Android Developer,Deloitte,Indore,Fresher (0-1 yr),"Firebase, Jetpack Compose, Java, Kotlin, Android SDK, REST APIs",B.Sc (CS/IT),firebase jetpack compose java kotlin android sdk rest apis,Android Developer firebase jetpack compose java kotlin android sdk rest apis B.Sc (CS/IT) Fresher (0-1 yr)
Data Analyst,HAL,Remote,Junior (1-3 yrs),"Power BI, SQL, Data Visualization, Tableau, Excel",MCA,power bi sql data visualization tableau excel,Data Analyst power bi sql data visualization tableau excel MCA Junior (1-3 yrs)
Full Stack Developer,Lenskart,Remote,Fresher (0-1 yr),"Docker, REST APIs, Python",B.Tech/B.E.,docker rest apis python,Full Stack Developer docker rest apis python B.Tech/B.E. Fresher (0-1 yr)
Cybersecurity Analyst,Freshworks,Remote,Mid (3-6 yrs),"Ethical Hacking, SIEM, Python, Network Security, Penetration Testing",B.Tech/B.E.,ethical hacking siem python network security penetration testing,Cybersecurity Analyst ethical hacking siem python network security penetration testing B.Tech/B.E. Mid (3-6 yrs)
AI Engineer,Microsoft,Hyderabad,Lead (10+ yrs),"LLMs, OpenAI API, NLP, Prompt Engineering, LangChain, Vector DBs",B.Tech/B.E.,llm openai api nlp prompt engineering langchain vector db,AI Engineer llm openai api nlp prompt engineering langchain vector db B.Tech/B.E. Lead (10+ yrs)
UI/UX Designer,Meesho,Remote,Junior (1-3 yrs),"Adobe XD, Figma, CSS, Prototyping, Wireframing, User Research",B.Tech/B.E.,adobe xd figma cs prototyping wireframing user research,UI/UX Designer adobe xd figma cs prototyping wireframing user research B.Tech/B.E. Junior (1-3 yrs)
Power BI Developer,Chargebee,Chennai,Junior (1-3 yrs),"Azure, SQL, Data Modeling, DAX",MCA,azure sql data modeling dax,Power BI Developer azure sql data modeling dax MCA Junior (1-3 yrs)
Product Manager,Ola,Chennai,Fresher (0-1 yr),"User Research, SQL, Roadmapping, Product Strategy, A/B Testing, Agile",MCA,user research sql roadmapping product strategy ab testing agile,Product Manager user research sql roadmapping product strategy ab testing agile MCA Fresher (0-1 yr)
AI Engineer,BrowserStack,Kolkata,Senior (6-10 yrs),"OpenAI API, LLMs, Prompt Engineering, LangChain",B.Sc (CS/IT),openai api llm prompt engineering langchain,AI Engineer openai api llm prompt engineering langchain B.Sc (CS/IT) Senior (6-10 yrs)
React Developer,Microsoft,Remote,Fresher (0-1 yr),"JavaScript, Next.js, TypeScript, Redux",B.Tech/B.E.,javascript nextjs typescript redux,React Developer javascript nextjs typescript redux B.Tech/B.E. Fresher (0-1 yr)
Android Developer,Byju's,Chennai,Junior (1-3 yrs),"Jetpack Compose, Java, Firebase, REST APIs, Android SDK",B.Tech/B.E.,jetpack compose java firebase rest apis android sdk,Android Developer jetpack compose java firebase rest apis android sdk B.Tech/B.E. Junior (1-3 yrs)
Cybersecurity Analyst,Wipro,Pune,Junior (1-3 yrs),"Python, Network Security, Penetration Testing, Ethical Hacking, SIEM",MCA,python network security penetration testing ethical hacking siem,Cybersecurity Analyst python network security penetration testing ethical hacking siem MCA Junior (1-3 yrs)
Frontend Developer,Ola,Mumbai,Senior (6-10 yrs),"HTML/CSS, TypeScript, Figma, React, Next.js, JavaScript",B.Tech/B.E.,htmlcss typescript figma react nextjs javascript,Frontend Developer htmlcss typescript figma react nextjs javascript B.Tech/B.E. Senior (6-10 yrs)
Data Analyst,Deloitte,Remote,Junior (1-3 yrs),"Data Visualization, Tableau, Power BI, SQL, Excel",B.Tech/B.E.,data visualization tableau power bi sql excel,Data Analyst data visualization tableau power bi sql excel B.Tech/B.E. Junior (1-3 yrs)
Data Analyst,Zoho,Remote,Mid (3-6 yrs),"Python, Power BI, Excel, Data Visualization, Statistics",MCA,python power bi excel data visualization statistic,Data Analyst python power bi excel data visualization statistic MCA Mid (3-6 yrs)
UI/UX Designer,BrowserStack,Remote,Senior (6-10 yrs),"Prototyping, User Research, Wireframing, CSS, Adobe XD",B.Tech/B.E.,prototyping user research wireframing cs adobe xd,UI/UX Designer prototyping user research wireframing cs adobe xd B.Tech/B.E. Senior (6-10 yrs)
Power BI Developer,Zoho,Remote,Mid (3-6 yrs),"ETL, Power BI, Data Modeling, Excel",M.Tech/M.E.,etl power bi data modeling excel,Power BI Developer etl power bi data modeling excel M.Tech/M.E. Mid (3-6 yrs)
DevOps Engineer,Zerodha,Pune,Fresher (0-1 yr),"Ansible, CI/CD, Linux, Docker, Kubernetes, Jenkins",MCA,ansible cicd linux docker kubernetes jenkins,DevOps Engineer ansible cicd linux docker kubernetes jenkins MCA Fresher (0-1 yr)
DevOps Engineer,BEL,Remote,Mid (3-6 yrs),"Ansible, Kubernetes, CI/CD, Jenkins, Terraform",B.Sc (CS/IT),ansible kubernetes cicd jenkins terraform,DevOps Engineer ansible kubernetes cicd jenkins terraform B.Sc (CS/IT) Mid (3-6 yrs)
QA Engineer,Postman,Delhi,Mid (3-6 yrs),"Postman, JIRA, Python, Manual Testing, Selenium, API Testing",M.Tech/M.E.,postman jira python manual testing selenium api testing,QA Engineer postman jira python manual testing selenium api testing M.Tech/M.E. Mid (3-6 yrs)
Product Manager,Capgemini,Chennai,Mid (3-6 yrs),"Roadmapping, Agile, Product Strategy, User Research",B.Tech/B.E.,roadmapping agile product strategy user research,Product Manager roadmapping agile product strategy user research B.Tech/B.E. Mid (3-6 yrs)
AI Engineer,BSNL,Remote,Mid (3-6 yrs),"RAG, OpenAI API, Vector DBs",BCA,rag openai api vector db,AI Engineer rag openai api vector db BCA Mid (3-6 yrs)
Software Engineer,HAL,Remote,Lead (10+ yrs),"System Design, C++, Data Structures",B.Tech/B.E.,system design c data structure,Software Engineer system design c data structure B.Tech/B.E. Lead (10+ yrs)
React Developer,Swiggy,Remote,Fresher (0-1 yr),"Next.js, JavaScript, HTML/CSS, TypeScript, Redux",MCA,nextjs javascript htmlcss typescript redux,React Developer nextjs javascript htmlcss typescript redux MCA Fresher (0-1 yr)
Software Engineer,Accenture,Remote,Junior (1-3 yrs),"Algorithms, System Design, C++",B.Tech/B.E.,algorithm system design c,Software Engineer algorithm system design c B.Tech/B.E. Junior (1-3 yrs)
DevOps Engineer,Nykaa,Remote,Mid (3-6 yrs),"Ansible, Kubernetes, AWS, Terraform",B.Tech/B.E.,ansible kubernetes aws terraform,DevOps Engineer ansible kubernetes aws terraform B.Tech/B.E. Mid (3-6 yrs)
Business Analyst,Zerodha,Bhubaneswar,Senior (6-10 yrs),"SQL, Agile, Excel",B.Tech/B.E.,sql agile excel,Business Analyst sql agile excel B.Tech/B.E. Senior (6-10 yrs)
Cloud Engineer,Chargebee,Ahmedabad,Senior (6-10 yrs),"Docker, Terraform, GCP",M.Tech/M.E.,docker terraform gcp,Cloud Engineer docker terraform gcp M.Tech/M.E. Senior (6-10 yrs)
MLOps Engineer,Accenture,Nagpur,Lead (10+ yrs),"Kubernetes, CI/CD, Airflow, MLflow, Python, AWS",B.Tech/B.E.,kubernetes cicd airflow mlflow python aws,MLOps Engineer kubernetes cicd airflow mlflow python aws B.Tech/B.E. Lead (10+ yrs)
Business Analyst,Urban Company,Remote,Junior (1-3 yrs),"Requirements Gathering, Agile, JIRA, Power BI, Excel",MCA,requirement gathering agile jira power bi excel,Business Analyst requirement gathering agile jira power bi excel MCA Junior (1-3 yrs)
Technical Lead,Fi Money,Remote,Junior (1-3 yrs),"Code Review, System Design, Agile",B.Tech/B.E.,code review system design agile,Technical Lead code review system design agile B.Tech/B.E. Junior (1-3 yrs)
Business Analyst,Leadsquared,Remote,Lead (10+ yrs),"Excel, Power BI, JIRA, Agile, SQL",M.Tech/M.E.,excel power bi jira agile sql,Business Analyst excel power bi jira agile sql M.Tech/M.E. Lead (10+ yrs)
React Developer,HAL,Lucknow,Lead (10+ yrs),"Redux, JavaScript, TypeScript, Next.js, React, HTML/CSS",B.Tech/B.E.,redux javascript typescript nextjs react htmlcss,React Developer redux javascript typescript nextjs react htmlcss B.Tech/B.E. Lead (10+ yrs)
Java Developer,HAL,Remote,Junior (1-3 yrs),"Java, Maven, Spring Boot, SQL, REST APIs",M.Tech/M.E.,java maven spring boot sql rest apis,Java Developer java maven spring boot sql rest apis M.Tech/M.E. Junior (1-3 yrs)
Software Engineer,Chargebee,Jaipur,Mid (3-6 yrs),"Python, System Design, Data Structures, REST APIs",B.Tech/B.E.,python system design data structure rest apis,Software Engineer python system design data structure rest apis B.Tech/B.E. Mid (3-6 yrs)
Full Stack Developer,Cognizant,Remote,Junior (1-3 yrs),"Docker, Node.js, Python, REST APIs, MongoDB, React",B.Sc (CS/IT),docker nodejs python rest apis mongodb react,Full Stack Developer docker nodejs python rest apis mongodb react B.Sc (CS/IT) Junior (1-3 yrs)
